ID      ROI                                           RED BLUE GREEN A
2000    Background+FreeSurfer_Defined_Medial_Wall  1   1   1   0
2001    7Networks_RH_Vis_1                            124 17  130 0
2002    7Networks_RH_Vis_2                            124 17  131 0
2003    7Networks_RH_Vis_3                            124 17  132 0
2004    7Networks_RH_Vis_4                            124 17  133 0
2005    7Networks_RH_Vis_5                            124 17  134 0
2006    7Networks_RH_Vis_6                            124 17  135 0
2007    7Networks_RH_Vis_7                            124 18  128 0
2008    7Networks_RH_Vis_8                            124 18  129 0
2009    7Networks_RH_Vis_9                            124 18  130 0
2010    7Networks_RH_Vis_10                           124 18  131 0
2011    7Networks_RH_Vis_11                           124 18  132 0
2012    7Networks_RH_Vis_12                           124 18  133 0
2013    7Networks_RH_Vis_13                           124 18  134 0
2014    7Networks_RH_Vis_14                           124 18  136 0
2015    7Networks_RH_Vis_15                           124 18  137 0
2016    7Networks_RH_Vis_16                           124 18  138 0
2017    7Networks_RH_Vis_17                           124 18  139 0
2018    7Networks_RH_Vis_18                           124 18  140 0
2019    7Networks_RH_Vis_19                           124 18  141 0
2020    7Networks_RH_Vis_20                           124 18  142 0
2021    7Networks_RH_Vis_21                           124 19  135 0
2022    7Networks_RH_Vis_22                           124 19  136 0
2023    7Networks_RH_Vis_23                           124 19  137 0
2024    7Networks_RH_Vis_24                           124 19  138 0
2025    7Networks_RH_Vis_25                           124 19  139 0
2026    7Networks_RH_Vis_26                           124 19  140 0
2027    7Networks_RH_Vis_27                           124 19  141 0
2028    7Networks_RH_Vis_28                           124 19  142 0
2029    7Networks_RH_Vis_29                           124 20  135 0
2030    7Networks_RH_Vis_30                           124 20  136 0
2031    7Networks_RH_SomMot_1                         74  128 179 0
2032    7Networks_RH_SomMot_2                         74  128 180 0
2033    7Networks_RH_SomMot_3                         74  128 181 0
2034    7Networks_RH_SomMot_4                         74  129 174 0
2035    7Networks_RH_SomMot_5                         74  129 175 0
2036    7Networks_RH_SomMot_6                         74  129 176 0
2037    7Networks_RH_SomMot_7                         74  129 177 0
2038    7Networks_RH_SomMot_8                         74  129 178 0
2039    7Networks_RH_SomMot_9                         74  129 179 0
2040    7Networks_RH_SomMot_10                        74  129 180 0
2041    7Networks_RH_SomMot_11                        74  129 181 0
2042    7Networks_RH_SomMot_12                        74  130 174 0
2043    7Networks_RH_SomMot_13                        74  130 175 0
2044    7Networks_RH_SomMot_14                        74  130 176 0
2045    7Networks_RH_SomMot_15                        74  130 177 0
2046    7Networks_RH_SomMot_16                        74  130 178 0
2047    7Networks_RH_SomMot_17                        74  130 179 0
2048    7Networks_RH_SomMot_18                        74  130 180 0
2049    7Networks_RH_SomMot_19                        74  130 182 0
